word,trans,exp,level,memory,modify,pron,filelink
"a","〈接尾辞〉 ～しろ・命令","【語法】 動詞に後置して～しろという強制の意思を表す。
【造語】 (de)新辞書移行以前",0,0,0,""
"ain","〈接尾辞〉 ～る・動詞化","【語法】 名詞や形容詞に後置し、動詞とする。
【造語】 (de)新辞書移行以前",0,0,0,""
"akt","〈接尾辞〉 ～しろ・命令","【語法】 動詞に後置して～しろという強制の意思を表す。aよりも強い。
【造語】 (de)新辞書移行以前",0,0,0,""
"bef","〈動詞〉 ～しそう・未然の活用","【語法】 動詞に後置して～しそうということをあらわす、もうじき～が始まるとも訳す。[例:wog-bef 動きだしそうだ・もう動くぞ]
[例:suoh-i'r-bef-or やめたくなるだろう]
【造語】 (de)新辞書移行以前",0,0,0,""
"ea","〈接尾辞〉 ～ない・否定の活用
〈感嘆詞〉 ちがう","【語法】 動詞や名詞に後置して意味を反転させる、
【造語】 (de)新辞書移行以前
cf:〈派生〉 onea, isea",0,0,0,""
"ein","","【訳語】
~するな・禁止の活用
【用例】 【活用】強い禁止の意 (de)",0,0,0,""
"ek","〈接尾辞〉 ～る・自動詞化","【語法】 動詞に後置して自動詞に変える。 
【造語】 (de)新辞書移行以前",0,0,0,""
"el","〈接尾辞〉 ～される・受動・受身","【語法】 動詞に後置し、主語が目的語に動詞されたをあらわす。
【造語】 (de)h291215",0,0,0,""
"em","〈接尾辞〉 ～し始める・開始","【語法】 動詞に後置して”～し始めている”・”～するのがが始まった”と成す。
【造語】 (de)新辞書移行以前",0,0,0,""
"es","","【訳語】
～したことがある・経験の活用
【用例】 【活用】英語で言うhave文に似た役割を持つ。 (de)",0,0,0,""
"est","〈接尾辞〉 ～してくれ・依頼","【語法】 ～してもらうという受益の意味にもなる。
【造語】 (de)新辞書移行以前",0,0,0,""
"ink","〈接尾辞〉 ～する事・動名詞
〈接尾辞〉 ～す・動形容詞","【造語】 (de)新辞書移行以前
cf:〈似義〉 aj",0,0,0,""
"iq","〈接尾辞〉 ～だった・過去","【語法】 iniとも書く(主に古風)、動詞や名詞に後置して過去時制を表す。
【造語】 (de)新辞書移行以前
cf: akku",0,0,0,""
"is","〈接尾辞〉 ～しよう・勧誘","【語法】 動詞に後置し誘う意思を表す。[例:wog-is. 動かそう]
【造語】 (de)新辞書移行以前",0,0,0,""
"jir","〈接尾辞〉 ～のような・装飾・形容詞化
〈接尾辞〉 ～らしい","【語法】 名詞や動詞に後置し形容詞化する。
【造語】 (de)新辞書移行以前",0,0,0,""
"Kr","","【訳語】
～の持つ・所有の活用
【用例】 【活用】karとも発音する、名詞に後置し～の持つ～の形にする。 (de)",0,0,0,""
"ly","〈接尾辞〉 ～した・～しきる・完了","【語法】 動詞に後置し完了形にする、終わらせるという動詞にも使う
【造語】 (de)h291109",0,0,0,""
